Attrition,Age,DailyRate,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Gender
0,38,573,Research & Development,6,3,2,Female,79,1,2,Research Scientist,4,5329,15717,7,1,12,3,80,3,17,3,3,13,11,1,9,Female
0,34,1153,Research & Development,1,2,1,Male,94,3,2,Manufacturing Director,2,4325,17736,1,0,15,3,80,0,5,2,3,5,2,1,3,Male
0,56,1400,Research & Development,7,3,4,Male,49,1,3,Manufacturing Director,4,7260,21698,4,0,11,3,80,0,37,3,2,6,4,0,2,Male
0,23,541,Sales,2,1,3,Male,62,3,1,Sales Representative,1,2322,9518,3,0,13,3,80,1,3,3,3,0,0,0,0,Male
0,51,432,Research & Development,9,4,4,Male,96,3,1,Laboratory Technician,4,2075,18725,3,0,23,4,80,2,10,4,3,4,2,0,3,Male
0,30,288,Research & Development,2,3,3,Male,99,2,2,Healthcare Representative,4,4152,15830,1,0,19,3,80,3,11,3,3,11,10,10,8,Male
1,46,669,Sales,9,2,3,Male,64,2,3,Sales Executive,4,9619,13596,1,0,16,3,80,0,9,3,3,9,8,4,7,Male
0,40,530,Research & Development,1,4,3,Male,78,2,4,Healthcare Representative,2,13503,14115,1,0,22,4,80,1,22,3,2,22,3,11,11,Male
0,51,632,Sales,21,4,3,Male,71,3,2,Sales Executive,4,5441,8423,0,1,22,4,80,0,11,2,1,10,7,1,0,Male
0,30,1334,Sales,4,2,3,Female,63,2,2,Sales Executive,2,5209,19760,1,1,12,3,80,3,11,4,2,11,8,2,7,Female
0,46,638,Research & Development,1,3,3,Male,40,2,3,Healthcare Representative,1,10673,3142,2,1,13,3,80,1,21,5,2,10,9,9,5,Male
0,32,1093,Sales,6,4,2,Male,87,3,2,Sales Executive,3,5010,24301,1,0,16,3,80,0,12,0,3,11,8,5,7,Male
0,54,1217,Research & Development,2,4,1,Female,60,3,3,Research Director,3,13549,24001,9,0,12,3,80,1,16,5,1,4,3,0,3,Female
0,24,1353,Sales,3,2,1,Female,33,3,2,Sales Executive,3,4999,17519,0,0,21,4,80,1,4,2,2,3,2,0,2,Female
0,28,120,Sales,4,3,2,Male,43,3,2,Sales Executive,3,4221,8863,1,0,15,3,80,0,5,3,4,5,4,0,4,Male
0,58,682,Sales,10,4,4,Male,37,3,4,Sales Executive,3,13872,24409,0,0,13,3,80,0,38,1,2,37,10,1,8,Male
0,44,489,Research & Development,23,3,2,Male,67,3,2,Laboratory Technician,2,2042,25043,4,0,12,3,80,1,17,3,4,3,2,1,2,Male
1,37,807,Human Resources,6,4,3,Male,63,3,1,Human Resources,1,2073,23648,4,1,22,4,80,0,7,3,3,3,2,0,2,Male
0,32,827,Research & Development,1,1,4,Male,71,3,1,Research Scientist,1,2956,15178,1,0,13,3,80,0,1,2,3,1,0,0,0,Male
1,20,871,Research & Development,6,3,4,Female,66,2,1,Laboratory Technician,4,2926,19783,1,1,18,3,80,0,1,5,3,1,0,1,0,Female
0,34,665,Research & Development,6,4,1,Female,41,3,2,Research Scientist,3,4809,12482,1,0,14,3,80,0,16,3,3,16,13,2,10,Female
0,37,1040,Research & Development,2,2,3,Male,100,2,2,Healthcare Representative,4,5163,15850,5,0,14,3,80,1,17,2,4,1,0,0,0,Male
0,59,1420,Human Resources,2,4,3,Female,32,2,5,Manager,4,18844,21922,9,0,21,4,80,1,30,3,3,3,2,2,2,Female
0,50,1115,Research & Development,1,3,1,Female,73,3,5,Research Director,2,18172,9755,3,1,19,3,80,0,28,1,2,8,3,0,7,Female
1,25,240,Sales,5,3,3,Male,46,2,2,Sales Executive,3,5744,26959,1,1,11,3,80,0,6,1,3,6,4,0,3,Male
0,25,1280,Research & Development,7,1,4,Male,64,2,1,Research Scientist,4,2889,26897,1,0,11,3,80,2,2,2,3,2,2,2,1,Male
0,22,534,Research & Development,15,3,2,Female,59,3,1,Laboratory Technician,4,2871,23785,1,0,15,3,80,0,1,5,3,0,0,0,0,Female
0,51,1456,Research & Development,1,4,1,Female,30,2,3,Healthcare Representative,1,7484,25796,3,0,20,4,80,0,23,1,2,13,12,12,8,Female
1,34,658,Research & Development,7,3,1,Male,66,1,2,Laboratory Technician,3,6074,22887,1,1,24,4,80,0,9,3,3,9,7,0,6,Male
0,54,142,Human Resources,26,3,4,Female,30,4,4,Manager,4,17328,13871,2,1,12,3,80,0,23,3,3,5,3,4,4,Female
0,24,1127,Research & Development,18,1,2,Male,52,3,1,Laboratory Technician,3,2774,13257,0,0,12,3,80,1,6,2,3,5,3,1,2,Male
0,34,1031,Research & Development,6,4,3,Female,45,2,2,Research Scientist,2,4505,15000,6,0,15,3,80,1,12,3,3,1,0,0,0,Female
0,37,1189,Sales,3,3,3,Male,87,3,3,Sales Executive,4,7428,14506,2,0,12,3,80,0,12,3,3,5,3,1,3,Male
0,34,1354,Research & Development,5,3,3,Female,45,2,3,Manager,1,11631,5615,2,0,12,3,80,0,14,6,3,11,10,5,8,Female
0,36,1467,Sales,11,2,2,Female,92,3,3,Sales Executive,4,9738,22952,0,0,14,3,80,1,10,6,3,9,7,2,8,Female
0,36,922,Research & Development,3,2,1,Female,39,3,1,Laboratory Technician,4,2835,2561,5,0,22,4,80,1,7,2,3,1,0,0,0,Female
0,43,394,Sales,26,2,3,Male,92,3,4,Manager,4,16959,19494,1,1,12,3,80,2,25,3,4,25,12,4,12,Male
0,30,1312,Research & Development,23,3,1,Male,96,1,1,Research Scientist,3,2613,22310,1,0,25,4,80,3,10,2,2,10,7,0,9,Male
0,33,750,Sales,22,2,3,Male,95,3,2,Sales Executive,2,6146,15480,0,0,13,3,80,1,8,2,4,7,7,0,7,Male
1,56,441,Research & Development,14,4,2,Female,72,3,1,Research Scientist,2,4963,4510,9,1,18,3,80,3,7,2,3,5,4,4,3,Female
0,51,684,Research & Development,6,3,1,Male,51,3,5,Research Director,3,19537,6462,7,0,13,3,80,0,23,5,3,20,18,15,15,Male
1,31,249,Sales,6,4,2,Male,76,1,2,Sales Executive,3,6172,20739,4,1,18,3,80,0,12,3,2,7,7,7,7,Male
0,26,841,Research & Development,6,3,3,Female,46,2,1,Research Scientist,2,2368,23300,1,0,19,3,80,0,5,3,2,5,4,4,3,Female
1,58,147,Research & Development,23,4,4,Female,94,3,3,Healthcare Representative,4,10312,3465,1,0,12,3,80,1,40,3,2,40,10,15,6,Female
1,19,528,Sales,22,1,4,Male,50,3,1,Sales Representative,3,1675,26820,1,1,19,3,80,0,0,2,2,0,0,0,0,Male
0,22,594,Research & Development,2,1,3,Male,100,3,1,Laboratory Technician,4,2523,19299,0,0,14,3,80,1,3,2,3,2,1,2,1,Male
0,49,470,Research & Development,20,4,3,Female,96,3,2,Manufacturing Director,1,6567,5549,1,0,14,3,80,0,16,2,2,15,11,5,11,Female
0,43,957,Research & Development,28,3,2,Female,72,4,1,Research Scientist,3,4739,16090,4,0,12,3,80,0,18,2,3,3,2,1,2,Female
0,50,809,Sales,12,3,3,Female,77,3,3,Sales Executive,4,9208,6645,4,0,11,3,80,0,16,3,3,2,2,2,1,Female
1,31,542,Sales,20,3,2,Female,71,1,2,Sales Executive,3,4559,24788,3,1,11,3,80,1,4,2,3,2,2,2,2,Female
0,41,802,Sales,9,1,3,Male,96,3,3,Sales Executive,3,8189,21196,3,1,13,3,80,1,12,2,3,9,7,0,7,Male
0,26,1355,Human Resources,25,1,3,Female,61,3,1,Human Resources,3,2942,8916,1,0,23,4,80,1,8,3,3,8,7,5,7,Female
0,36,216,Research & Development,6,2,2,Male,84,3,2,Manufacturing Director,2,4941,2819,6,0,20,4,80,2,7,0,3,3,2,0,1,Male
1,51,1150,Research & Development,8,4,1,Male,53,1,3,Manufacturing Director,4,10650,25150,2,0,15,3,80,0,18,2,3,4,2,0,3,Male
0,39,1329,Sales,4,4,4,Female,47,2,2,Sales Executive,3,5902,14590,4,0,14,3,80,1,17,1,4,15,11,5,9,Female
0,25,959,Sales,28,3,1,Male,41,2,2,Sales Executive,3,8639,24835,2,0,18,3,80,0,6,3,3,2,2,2,2,Male
0,30,1240,Human Resources,9,3,3,Male,48,3,2,Human Resources,4,6347,13982,0,1,19,3,80,0,12,2,1,11,9,4,7,Male
1,32,1033,Research & Development,9,3,1,Female,41,3,1,Laboratory Technician,1,4200,10224,7,0,22,4,80,0,10,2,4,5,4,0,4,Female
0,45,1316,Research & Development,29,3,3,Male,83,3,1,Research Scientist,4,3452,9752,5,0,13,3,80,0,9,2,2,6,5,0,3,Male
0,38,364,Research & Development,3,5,4,Female,32,3,2,Research Scientist,3,4317,2302,3,1,20,4,80,0,19,2,3,3,2,2,2,Female
0,30,438,Research & Development,18,3,1,Female,75,3,1,Research Scientist,3,2632,23910,1,0,14,3,80,0,5,4,2,5,4,0,4,Female
0,32,689,Sales,9,2,4,Male,35,1,2,Sales Executive,4,4668,22812,0,0,17,3,80,3,9,2,4,8,7,0,7,Male
0,30,201,Research & Development,5,3,4,Female,84,3,1,Research Scientist,1,3204,10415,5,0,14,3,80,1,8,3,3,3,2,2,2,Female
0,30,1427,Research & Development,2,1,2,Male,35,2,1,Laboratory Technician,4,2720,11162,0,0,13,3,80,0,6,3,3,5,3,1,2,Male
0,41,857,Research & Development,10,3,4,Male,91,2,4,Manager,1,17181,12888,4,0,13,3,80,1,21,2,2,7,6,7,7,Male
0,41,933,Research & Development,9,4,3,Male,94,3,1,Laboratory Technician,1,2238,6961,2,0,21,4,80,1,7,2,3,5,0,1,4,Male
0,19,1181,Research & Development,3,1,2,Female,79,3,1,Laboratory Technician,2,1483,16102,1,0,14,3,80,0,1,3,3,1,0,0,0,Female
0,40,1395,Research & Development,26,3,2,Female,54,3,2,Research Scientist,2,5605,8504,1,0,11,3,80,1,20,2,3,20,7,2,13,Female
0,35,662,Sales,1,5,3,Male,94,3,3,Sales Executive,2,7295,11439,1,0,13,3,80,2,10,3,3,10,8,0,6,Male
0,53,1436,Sales,6,2,2,Male,34,3,2,Sales Representative,3,2306,16047,2,1,20,4,80,1,13,3,1,7,7,4,5,Male
0,45,194,Research & Development,9,3,2,Male,60,3,2,Laboratory Technician,2,2348,10901,8,0,18,3,80,1,20,2,1,17,9,0,15,Male
0,32,967,Sales,8,3,2,Female,43,3,3,Sales Executive,4,8998,15589,1,0,14,3,80,0,9,2,3,9,8,3,7,Female
0,29,1496,Research & Development,1,1,4,Male,41,3,2,Manufacturing Director,3,4319,26283,1,0,13,3,80,1,10,1,3,10,7,0,9,Male
0,51,1169,Research & Development,7,4,2,Male,34,2,2,Manufacturing Director,3,6132,13983,2,0,17,3,80,0,10,2,3,1,0,0,0,Male
0,58,1145,Research & Development,9,3,2,Female,75,2,1,Research Scientist,2,3346,11873,4,1,20,4,80,1,9,3,2,1,0,0,0,Female
0,40,630,Sales,4,4,3,Male,67,2,3,Sales Executive,4,10855,8552,7,0,11,3,80,1,15,2,2,12,11,2,11,Male
0,34,303,Sales,2,4,3,Female,75,3,1,Sales Representative,3,2231,11314,6,0,18,3,80,1,6,3,3,4,3,1,2,Female
0,22,1256,Research & Development,19,1,3,Male,80,3,1,Research Scientist,4,2323,11992,1,0,24,4,80,2,2,6,3,2,2,2,2,Male
0,27,691,Research & Development,9,3,4,Male,57,3,1,Research Scientist,2,2024,5970,6,0,18,3,80,1,6,1,1,2,2,2,2,Male
0,28,440,Research & Development,21,3,3,Male,42,3,1,Research Scientist,4,2713,6672,1,0,11,3,80,1,5,2,1,5,2,0,2,Male
0,57,334,Research & Development,24,2,3,Male,83,4,3,Healthcare Representative,4,9439,23402,3,1,16,3,80,1,12,2,1,5,3,1,4,Male
0,27,1450,Research & Development,3,3,3,Male,79,2,1,Research Scientist,3,2566,25326,1,1,15,3,80,1,1,2,2,1,1,0,1,Male
0,50,1452,Research & Development,11,3,3,Female,53,3,5,Manager,2,19926,17053,3,0,15,3,80,0,21,5,3,5,4,4,4,Female
0,41,465,Research & Development,14,3,1,Male,56,3,1,Research Scientist,3,2451,4609,4,0,12,3,80,1,13,2,3,9,8,1,8,Male
0,30,1339,Sales,5,3,2,Female,41,3,3,Sales Executive,4,9419,8053,2,0,12,3,80,1,12,2,3,10,9,7,4,Female
0,38,702,Sales,1,4,1,Female,59,2,2,Sales Executive,4,8686,12930,4,0,22,4,80,0,12,2,4,8,3,0,7,Female
0,32,120,Research & Development,6,5,3,Male,43,3,1,Research Scientist,3,3038,12430,3,0,20,4,80,0,8,2,3,5,4,1,4,Male
0,27,1157,Research & Development,17,3,3,Male,51,3,1,Research Scientist,2,3058,13364,0,1,16,3,80,1,6,3,2,5,2,1,1,Male
1,19,602,Sales,1,1,3,Female,100,1,1,Sales Representative,1,2325,20989,0,0,21,4,80,0,1,5,4,0,0,0,0,Female
0,36,1480,Research & Development,3,2,4,Male,30,3,1,Laboratory Technician,2,2088,15062,4,0,12,3,80,0,13,3,2,8,7,7,2,Male
0,30,111,Research & Development,9,3,3,Male,66,3,2,Laboratory Technician,1,3072,11012,1,0,11,3,80,2,12,4,3,12,9,6,10,Male
0,45,1268,Sales,4,2,3,Female,30,3,2,Sales Executive,1,5006,6319,4,1,11,3,80,1,9,3,4,5,4,0,3,Female
0,56,713,Research & Development,8,3,3,Female,67,3,1,Research Scientist,1,4257,13939,4,1,18,3,80,1,19,3,3,2,2,2,2,Female
0,33,134,Research & Development,2,3,3,Male,90,3,1,Research Scientist,4,2500,10515,0,0,14,3,80,0,4,2,4,3,1,0,2,Male
1,19,303,Research & Development,2,3,2,Male,47,2,1,Laboratory Technician,4,1102,9241,1,0,22,4,80,0,1,3,2,1,0,1,0,Male
0,46,526,Sales,1,2,2,Female,92,3,3,Sales Executive,1,10453,2137,1,0,25,4,80,3,24,2,3,24,13,15,7,Female
0,38,1380,Research & Development,9,2,3,Female,75,3,1,Laboratory Technician,4,2288,6319,1,0,12,3,80,0,2,3,3,2,2,2,1,Female
0,31,140,Research & Development,12,1,3,Female,95,3,1,Research Scientist,4,3929,6984,8,1,23,4,80,1,7,0,3,4,2,0,2,Female
0,34,629,Research & Development,27,2,4,Female,95,3,1,Research Scientist,2,2311,5711,2,0,15,3,80,0,9,3,3,3,2,1,2,Female
1,41,1356,Sales,20,2,2,Female,70,3,1,Sales Representative,2,3140,21728,1,1,22,4,80,0,4,5,2,4,3,0,2,Female
0,50,328,Research & Development,1,3,3,Male,86,2,1,Laboratory Technician,3,3690,3425,2,0,15,3,80,1,5,2,2,3,2,0,2,Male
0,53,1084,Research & Development,13,2,4,Female,57,4,2,Manufacturing Director,1,4450,26250,1,0,11,3,80,2,5,3,3,4,2,1,3,Female
0,33,931,Research & Development,14,3,4,Female,72,3,1,Research Scientist,2,2756,4673,1,0,13,3,80,1,8,5,3,8,7,1,6,Female
0,40,989,Research & Development,4,1,4,Female,46,3,5,Manager,3,19033,6499,1,0,14,3,80,1,21,2,3,20,8,9,9,Female
0,55,692,Research & Development,14,4,3,Male,61,4,5,Research Director,2,18722,13339,8,0,11,3,80,0,36,3,3,24,15,2,15,Male
0,34,1069,Research & Development,2,1,4,Male,45,2,2,Manufacturing Director,3,9547,14074,1,0,17,3,80,0,10,2,2,10,9,1,9,Male
