Attrition,BusinessTravel,Department,EducationField,Gender,JobRole,MaritalStatus
0,Travel_Rarely,Research & Development,Technical Degree,Male,Laboratory Technician,Married
0,Travel_Rarely,Research & Development,Medical,Female,Manufacturing Director,Married
0,Travel_Frequently,Research & Development,Medical,Female,Research Scientist,Single
0,Travel_Frequently,Sales,Marketing,Female,Sales Executive,Single
1,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Married
0,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Divorced
0,Travel_Rarely,Human Resources,Life Sciences,Female,Human Resources,Married
0,Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Divorced
1,Travel_Frequently,Research & Development,Life Sciences,Male,Manufacturing Director,Single
0,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Married
0,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married
0,Travel_Rarely,Human Resources,Human Resources,Male,Human Resources,Married
1,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Single
0,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single
0,Travel_Rarely,Research & Development,Technical Degree,Female,Research Scientist,Single
0,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Single
0,Travel_Frequently,Sales,Medical,Male,Sales Executive,Divorced
0,Travel_Rarely,Research & Development,Technical Degree,Female,Research Scientist,Divorced
0,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Single
0,Travel_Frequently,Research & Development,Life Sciences,Male,Manager,Divorced
0,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married
0,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Single
0,Travel_Frequently,Research & Development,Medical,Female,Research Scientist,Divorced
0,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married
0,Travel_Rarely,Sales,Marketing,Male,Sales Representative,Married
0,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced
0,Travel_Frequently,Sales,Marketing,Female,Sales Executive,Single
0,Non-Travel,Research & Development,Technical Degree,Male,Manufacturing Director,Married
0,Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Married
0,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Married
0,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married
0,Travel_Frequently,Sales,Marketing,Female,Sales Representative,Married
0,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married
0,Non-Travel,Research & Development,Medical,Male,Research Scientist,Divorced
0,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married
0,Travel_Rarely,Research & Development,Life Sciences,Male,Healthcare Representative,Divorced
0,Non-Travel,Research & Development,Medical,Male,Research Scientist,Divorced
0,Travel_Rarely,Research & Development,Life Sciences,Female,Manager,Single
0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced
0,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Married
0,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Single
0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single
0,Travel_Rarely,Research & Development,Technical Degree,Male,Research Scientist,Married
1,Travel_Frequently,Sales,Technical Degree,Female,Sales Representative,Single
0,Travel_Frequently,Research & Development,Medical,Male,Laboratory Technician,Single
0,Non-Travel,Research & Development,Medical,Male,Laboratory Technician,Divorced
0,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Divorced
0,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Divorced
0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single
1,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single
0,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Divorced
0,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Single
0,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Married
0,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Single
1,Travel_Rarely,Sales,Marketing,Female,Sales Representative,Single
0,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married
0,Travel_Rarely,Research & Development,Medical,Female,Manufacturing Director,Divorced
0,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Married
0,Travel_Rarely,Research & Development,Medical,Female,Manager,Married
0,Travel_Rarely,Research & Development,Medical,Male,Research Director,Single
0,Travel_Frequently,Research & Development,Life Sciences,Male,Manufacturing Director,Married
0,Travel_Rarely,Research & Development,Medical,Female,Healthcare Representative,Single
0,Travel_Rarely,Research & Development,Life Sciences,Male,Manager,Married
0,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Single
1,Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Married
0,Non-Travel,Research & Development,Medical,Male,Research Scientist,Divorced
0,Non-Travel,Research & Development,Medical,Male,Manager,Married
0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married
0,Travel_Frequently,Research & Development,Medical,Female,Laboratory Technician,Single
0,Non-Travel,Research & Development,Medical,Female,Manufacturing Director,Divorced
0,Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Married
0,Travel_Rarely,Research & Development,Technical Degree,Male,Manufacturing Director,Married
0,Travel_Frequently,Research & Development,Technical Degree,Male,Manufacturing Director,Married
0,Non-Travel,Research & Development,Life Sciences,Male,Manufacturing Director,Divorced
0,Travel_Frequently,Research & Development,Medical,Male,Research Scientist,Divorced
0,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married
1,Travel_Rarely,Research & Development,Medical,Male,Healthcare Representative,Married
1,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married
0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced
0,Travel_Frequently,Research & Development,Medical,Female,Laboratory Technician,Single
0,Non-Travel,Research & Development,Life Sciences,Male,Healthcare Representative,Married
0,Travel_Rarely,Research & Development,Medical,Male,Healthcare Representative,Divorced
1,Travel_Rarely,Sales,Medical,Male,Sales Executive,Married
0,Non-Travel,Research & Development,Life Sciences,Male,Manufacturing Director,Single
0,Travel_Frequently,Sales,Life Sciences,Female,Sales Executive,Single
0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Director,Married
1,Travel_Rarely,Research & Development,Technical Degree,Female,Research Scientist,Single
0,Travel_Rarely,Sales,Life Sciences,Female,Manager,Single
1,Travel_Frequently,Sales,Marketing,Female,Sales Executive,Single
1,Travel_Rarely,Research & Development,Technical Degree,Male,Research Scientist,Single
0,Non-Travel,Sales,Medical,Female,Sales Executive,Single
0,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married
0,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single
0,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Married
0,Travel_Frequently,Research & Development,Other,Male,Research Director,Divorced
0,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Divorced
0,Non-Travel,Research & Development,Medical,Male,Manufacturing Director,Married
0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married
0,Travel_Frequently,Sales,Marketing,Male,Sales Representative,Divorced
0,Travel_Frequently,Sales,Medical,Female,Sales Executive,Married
0,Travel_Frequently,Sales,Marketing,Female,Sales Executive,Single
1,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single
0,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Single
0,Travel_Rarely,Research & Development,Technical Degree,Male,Manager,Married
0,Travel_Rarely,Human Resources,Medical,Male,Human Resources,Married
0,Travel_Rarely,Sales,Medical,Female,Manager,Divorced
1,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married
0,Travel_Rarely,Sales,Marketing,Female,Manager,Married
1,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Married
0,Non-Travel,Sales,Life Sciences,Male,Manager,Single
0,Travel_Rarely,Sales,Life Sciences,Female,Sales Representative,Married
1,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single
0,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Divorced
0,Non-Travel,Sales,Marketing,Male,Sales Executive,Married
0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced
0,Travel_Rarely,Research & Development,Technical Degree,Male,Research Scientist,Divorced
0,Travel_Rarely,Research & Development,Other,Male,Manager,Married
0,Travel_Frequently,Research & Development,Medical,Male,Research Director,Divorced
0,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Married
0,Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Married
0,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Married
0,Travel_Frequently,Research & Development,Life Sciences,Male,Manufacturing Director,Married
1,Travel_Frequently,Research & Development,Medical,Male,Manufacturing Director,Divorced
0,Travel_Frequently,Research & Development,Technical Degree,Female,Healthcare Representative,Single
0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single
0,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Single
0,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Divorced
0,Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Married
0,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Divorced
0,Travel_Rarely,Research & Development,Medical,Male,Research Director,Divorced
0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married
1,Travel_Frequently,Research & Development,Medical,Male,Laboratory Technician,Single
0,Travel_Frequently,Research & Development,Life Sciences,Male,Laboratory Technician,Married
0,Non-Travel,Sales,Life Sciences,Male,Sales Executive,Married
0,Travel_Rarely,Research & Development,Technical Degree,Male,Laboratory Technician,Single
0,Travel_Rarely,Sales,Technical Degree,Female,Manager,Married
1,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single
0,Travel_Rarely,Sales,Medical,Male,Sales Executive,Married
0,Travel_Rarely,Research & Development,Medical,Male,Healthcare Representative,Married
0,Non-Travel,Research & Development,Life Sciences,Male,Healthcare Representative,Divorced
0,Travel_Rarely,Research & Development,Medical,Male,Healthcare Representative,Married
0,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married
0,Travel_Rarely,Research & Development,Medical,Male,Manager,Single
1,Non-Travel,Research & Development,Life Sciences,Male,Manager,Married
0,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married
0,Travel_Rarely,Sales,Medical,Male,Sales Executive,Married
0,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single
0,Non-Travel,Research & Development,Medical,Female,Research Director,Divorced
0,Travel_Rarely,Research & Development,Life Sciences,Female,Manager,Divorced
0,Travel_Rarely,Sales,Medical,Female,Sales Executive,Divorced
0,Travel_Frequently,Research & Development,Life Sciences,Female,Manufacturing Director,Divorced
0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Director,Divorced
0,Travel_Rarely,Research & Development,Medical,Male,Research Director,Married
0,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married
0,Travel_Frequently,Sales,Life Sciences,Male,Sales Executive,Single
0,Travel_Rarely,Research & Development,Technical Degree,Male,Laboratory Technician,Married
0,Travel_Frequently,Research & Development,Medical,Male,Healthcare Representative,Married
0,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Single
1,Travel_Frequently,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced
0,Travel_Rarely,Research & Development,Life Sciences,Male,Healthcare Representative,Divorced
1,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Divorced
0,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Single
0,Travel_Frequently,Research & Development,Life Sciences,Female,Research Director,Single
0,Travel_Rarely,Research & Development,Technical Degree,Male,Research Scientist,Single
0,Travel_Frequently,Sales,Marketing,Female,Sales Representative,Divorced
1,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Single
0,Travel_Frequently,Research & Development,Medical,Male,Research Scientist,Married
0,Travel_Frequently,Sales,Marketing,Female,Sales Executive,Married
1,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single
0,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married
0,Travel_Frequently,Research & Development,Life Sciences,Male,Laboratory Technician,Married
0,Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Divorced
0,Travel_Rarely,Sales,Life Sciences,Male,Manager,Single
0,Travel_Rarely,Sales,Medical,Female,Sales Representative,Single
0,Travel_Rarely,Research & Development,Medical,Male,Healthcare Representative,Single
0,Travel_Rarely,Sales,Technical Degree,Male,Sales Executive,Married
0,Travel_Rarely,Research & Development,Medical,Male,Healthcare Representative,Divorced
0,Non-Travel,Research & Development,Life Sciences,Female,Laboratory Technician,Married
0,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married
0,Travel_Rarely,Research & Development,Life Sciences,Female,Research Director,Married
0,Non-Travel,Research & Development,Life Sciences,Male,Healthcare Representative,Divorced
0,Travel_Rarely,Research & Development,Technical Degree,Male,Research Scientist,Married
0,Travel_Rarely,Human Resources,Human Resources,Male,Human Resources,Married
0,Travel_Frequently,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced
0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced
0,Travel_Frequently,Research & Development,Life Sciences,Female,Manager,Married
0,Travel_Rarely,Research & Development,Medical,Male,Manager,Married
0,Travel_Frequently,Research & Development,Life Sciences,Female,Laboratory Technician,Single
0,Travel_Rarely,Research & Development,Technical Degree,Female,Healthcare Representative,Single
1,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married
0,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Single
0,Travel_Rarely,Sales,Technical Degree,Female,Sales Executive,Married
0,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Single
0,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Divorced
0,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Single
1,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married
0,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Married
0,Travel_Frequently,Research & Development,Life Sciences,Female,Manufacturing Director,Married
0,Travel_Frequently,Research & Development,Medical,Male,Manager,Married
1,Travel_Rarely,Sales,Medical,Female,Sales Executive,Married
0,Travel_Frequently,Sales,Marketing,Male,Sales Executive,Single
0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Director,Married
0,Travel_Frequently,Research & Development,Life Sciences,Female,Laboratory Technician,Divorced
0,Non-Travel,Sales,Marketing,Male,Sales Executive,Married
0,Travel_Frequently,Research & Development,Life Sciences,Female,Research Scientist,Single
0,Travel_Rarely,Research & Development,Life Sciences,Female,Healthcare Representative,Married
0,Travel_Rarely,Research & Development,Other,Male,Research Scientist,Married
0,Travel_Rarely,Sales,Medical,Male,Sales Executive,Married
1,Travel_Rarely,Research & Development,Other,Male,Laboratory Technician,Married
0,Travel_Rarely,Research & Development,Other,Male,Laboratory Technician,Single
0,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Divorced
0,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married
0,Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Divorced
0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Director,Divorced
0,Travel_Rarely,Research & Development,Medical,Female,Manufacturing Director,Single
0,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Divorced
0,Travel_Rarely,Research & Development,Technical Degree,Male,Manufacturing Director,Single
0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced
0,Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Single
0,Travel_Frequently,Sales,Medical,Male,Sales Representative,Single
0,Travel_Rarely,Research & Development,Life Sciences,Female,Research Director,Single
0,Non-Travel,Sales,Life Sciences,Male,Sales Executive,Married
0,Travel_Rarely,Human Resources,Technical Degree,Male,Human Resources,Divorced
0,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Married
0,Travel_Rarely,Sales,Medical,Female,Manager,Married
0,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Divorced
0,Non-Travel,Sales,Technical Degree,Female,Sales Executive,Married
0,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married
0,Travel_Rarely,Research & Development,Other,Male,Healthcare Representative,Single
1,Travel_Frequently,Sales,Technical Degree,Female,Sales Representative,Single
0,Non-Travel,Sales,Medical,Female,Sales Executive,Single
0,Travel_Frequently,Sales,Medical,Male,Sales Executive,Married
0,Travel_Rarely,Research & Development,Medical,Male,Healthcare Representative,Married
0,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Married
0,Non-Travel,Sales,Medical,Male,Sales Representative,Single
1,Travel_Rarely,Sales,Marketing,Female,Sales Representative,Single
0,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Married
0,Non-Travel,Research & Development,Medical,Female,Manufacturing Director,Married
1,Travel_Frequently,Sales,Marketing,Male,Sales Executive,Single
0,Travel_Rarely,Research & Development,Technical Degree,Male,Healthcare Representative,Single
1,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married
0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single
1,Travel_Rarely,Sales,Life Sciences,Female,Sales Representative,Single
0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single
0,Travel_Rarely,Research & Development,Life Sciences,Male,Healthcare Representative,Single
0,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Divorced
0,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Single
0,Travel_Rarely,Research & Development,Other,Male,Healthcare Representative,Single
0,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Married
0,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Married
1,Non-Travel,Sales,Marketing,Male,Sales Executive,Single
0,Travel_Rarely,Research & Development,Life Sciences,Female,Manager,Single
0,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Divorced
0,Travel_Rarely,Sales,Technical Degree,Male,Sales Representative,Married
1,Travel_Frequently,Research & Development,Technical Degree,Male,Research Scientist,Single
0,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Married
0,Travel_Rarely,Sales,Medical,Male,Sales Executive,Married
1,Travel_Frequently,Research & Development,Technical Degree,Male,Research Scientist,Single
0,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Divorced
0,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Divorced
0,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Divorced
0,Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Single
